"","vtitle","vpoint","vreview"
"1","고장난 론","8","우정은 일방향이 아닌 양방향"
"2","안테벨룸","7","기대한만큼 재미있었습니다."
"3","뜨거운 피","10","정우의 정우에 의한 정우를 위한 영화"
"4","뜨거운 피","10","정우 진짜 인생연기했다! 사투리 쓰는 역할 많이 한 것 같은데 전작들 생각 하나도 안남 완전 희수 그 자체"
"5","뜨거운 피","10","갓-띵대사 듣고 가슴이 웅장해져서 나옴.백퍼 다 걸고 인생 느와르 영화임!"
"6","레스틀리스","2","이영화는 주인공이 멋있으면 안돼는거임 존나 찌질 구차 하다가 풀발 하는 맛인데..."
"7","해적: 도깨비 깃발","1","지속되는 억지스러운 웃음유발에 갑자기 펭귄이 나오는거 보고 갸우뚱했는데 그 펭귄이 스토리의 키를 가지고 있는점에서 최악의 영화"
"8","마더","9","마지막 춤추는 장면"
"9","스펜서","7","스포일러 있으면 제발 스포일러 있다고 표시좀 해라 아오"
"10","문폴","6","왠만해선 안 그러는데, 졸았음"
