"","comic.name","comic.summary","comic.grade"
"1","드라코 하트 (Drache Heart)","몬스터 레벨업스토리","9.17"
"2","김치걸 x 밀크티보이","한국여자+홍콩남자","9.87"
"3","눈사람사람","사람이 되고 싶어?","9.27"
"4","아빠는 N살","아빠 4컷 그림일기","9.91"
"5","산군대잔치","강아지 산군의 일상","9.86"
"6","미필은 노하이","대한군필 만세!!","9.85"
"7","태풍의 빈티지샵","깡패 잡는 사장님","9.67"
"8","지킬 앤 킬","지켜야 할 애인을","8.00"
"9","팬 건 네가 처음","여우와 소년의 격돌","8.92"
"10","블루랜드","색을 잃고 살아남다","9.90"
"11","그들이 사는 세상","과고에서 1등하기","8.46"
"12","졸렬☆다이나믹","다이나믹 초딩들","9.92"
"13","노른자들","늘 혼자들의 이야기","9.87"
"14","500원 토끼","500원토끼의 일상","9.73"
"15","식봉툰","일상적인 이야기","8.81"
"16","오늘부터 G.A.B님과 함께 살게 되었습니다","이 보안만화,웃기다","8.25"
"17","내일은 낯선 행성을 걷는다","밤 9시의 산책","9.83"
"18","오디네리 피플","우리집, 당신집, 누군가의 집. 그저 평범한 가족이야기!","9.40"
"19","원인탐구생활","일상, 고양이","9.89"
"20","THE","자신을 찾을 이야기","9.48"
"21","너구리네 육아일기","육아일기","9.77"
"22","어둠의 일상툰","어둠의 일상","9.69"
"23","너만 바라 봄","캠퍼스 로맨스","9.48"
"24","나를 위한 봄","일상학원로맨스","8.54"
